Length (major axis),Width (minor axis),Thickness (depth),Area,Perimeter,Roundness,Solidity,Compactness,Aspect Ratio,Eccentricity,Extent,Convex hull(convex area),Type
2.1859037469,-0.179653497,0.0694125996,0.6286601248,0.8979806993,-1.9565134008,0.1970434893,0.2828534542,2.9630436249,2.5484743957,2.0774355699,0.6162726164,0
-0.0589152244,0.0576784843,-0.5400187798,-0.9096821031,-1.1125651944,0.4037838662,0.5702264366,-0.6188920442,0.1576467896,0.385868883,0.5118601517,-0.9400848642,2
0.9208319217,1.1158468512,0.4035906818,-0.5702575828,-0.6410383454,-0.2823433783,0.1839431123,-0.3896843317,0.4121772394,0.6621144925,-0.1493859405,-0.5844896656,1
0.0877204857,0.0181574296,-0.3719821066,-0.9392450159,-1.1262660123,-0.6991017167,0.3038440916,-0.5763157105,-0.072026,-0.2010607064,0.27923026,-0.9611152657,1
-0.3212608178,-0.9942051391,0.0823606759,-1.0592934163,-1.0942408073,-0.2773506284,-0.6987679361,-0.2169431234,-0.4431632303,-0.3375775001,0.2048015326,-1.0443158729,2
-0.1048938229,-0.282119319,0.3540683965,-0.2585718179,-0.2433311061,-0.5129465402,0.461131109,-0.2289151769,-0.5221630391,-0.5627401715,-0.4350933761,-0.2924751644,1
0.4039382034,-0.4786466839,-0.3099293464,-1.0368734252,-1.0234528185,-0.1208134977,-0.2350161581,-0.1530828616,0.0904567308,0.1212385643,-0.2366403719,-1.033061461,2
-0.2750691348,-0.603445084,-0.2736340887,-1.0093728485,-1.0561482389,-0.5798112597,-0.1297600523,-0.2769155439,0.4121771044,0.4940599878,-0.4690245456,-1.018212713,0
-1.1641396988,-1.3856749156,-0.7094092447,-0.2105338021,-0.2853830656,0.8010941069,0.5455699772,-0.323528001,0.1602719634,0.437564445,0.7029704298,-0.2491651943,2
0.8274802883,0.3628243033,0.5709171566,1.5781688958,1.2250898533,0.4560893794,0.1811266174,-0.1125348044,0.8397812331,1.0740688873,0.7724039881,1.5778645824,0
-1.5057661314,-1.7174225961,-1.2300045537,-0.5993017488,-0.6545396634,0.9251084796,0.3631714276,-0.3539672881,-0.2428162181,-0.0260575038,-0.523327778,-0.6265396689,0
-0.2177510284,-0.9233961673,-0.6585437722,-1.0941076417,-0.9887166848,-0.0901963372,-1.0061811074,0.0311408281,0.158045701,0.0967769766,-2.5996967196,-1.0597628957,0
-0.9813328556,-0.3034997972,0.2491121634,0.3083429321,-0.1688418276,2.0379640842,0.6970938371,-0.660449585,-1.9904159887,-2.9355557152,1.2559226254,0.252697519,0
-0.8485008675,-0.8873618533,-0.1512694151,-0.4306346038,-0.464505151,-0.3224968917,0.5561739239,-0.3280849837,-0.2429154758,-0.3266361533,-0.06863941,-0.4683071717,2
-0.5862202766,-0.7944082082,-0.7336484091,0.2406053816,0.1914493394,0.8395090912,0.2528395892,-0.2526091916,0.1039774364,0.3680526539,1.2312216705,0.2249906514,0
-0.3126584799,-0.111831568,0.4114243346,-0.152969793,-0.2564604877,-0.3163398776,0.6435002356,-0.3677970204,0.2529293027,0.1478781679,-0.3728378439,-0.1981677809,1
-1.0210476047,0.401063917,0.4212867153,-0.348877076,-0.5555208053,0.4505390878,0.7598566139,-0.5582171208,-1.1401825427,-1.3464204089,0.5155752236,-0.3992538501,2
1.8479016805,2.8883828453,1.4246939802,3.1150976283,1.8304964773,0.7531723917,0.555700638,-0.3804542583,-0.1449533557,0.0941626165,1.2799237672,3.0319940614,0
1.3435222401,0.8454949229,0.9228727805,0.5432452404,0.8028316419,-1.2297964009,-0.1046892766,0.2436209777,0.2491027043,0.4847063071,0.2922260235,0.5591019591,1
0.2016106404,0.5352209224,-0.3190789946,-0.8533025193,-1.0492695377,-0.1712317912,0.0380317505,-0.5883836957,-0.5204689143,-0.5247754935,-0.0333967537,-0.8619999993,2
0.1552048691,0.6784386543,0.1697836029,1.1855579311,0.386357019,1.6014229558,0.8286669979,-0.6995308559,-1.2111359093,-1.4245173789,0.7999965197,1.0956037994,2
-0.4926781353,-0.508021282,-0.30718678,-0.3447342727,-0.3457605738,-0.8461853055,0.6739172739,-0.2833169472,-0.2064454786,-0.0880278791,0.0152984662,-0.3887281082,1
0.4670379617,0.5813840758,-0.0507842095,-0.8189111131,-1.0496730972,-0.0900103846,0.5485541764,-0.6314986362,-0.1430873332,-0.0420771859,0.4085104166,-0.8520928546,2
-0.3914076556,-0.2984038989,-0.4709504319,0.5358108724,-0.0282351384,1.2861663276,0.831527833,-0.7170879126,-0.6064045857,-0.487159621,0.6451689953,0.465057501,2
-0.8436028011,-0.6589934477,-0.9156889367,-0.638909648,-0.6783506739,-0.8799344119,0.7248746149,-0.3356769379,-0.5373385904,-0.4987482472,0.045457741,-0.6821389308,1
-0.538745229,-0.2602478208,-0.7392160929,-1.0861547926,0.2180379182,-0.3538902103,-4.128809289,3.8020649664,0.162919568,0.177054444,-3.4343009552,-0.9086438817,0
-0.1617455383,-0.3368730416,-0.0374739581,-0.9647341464,-1.291247875,-0.091925985,0.5788348593,-0.783588042,-0.2233309059,-0.0587634747,-0.2168229483,-0.9979271778,1
-0.3843233313,-0.4072987401,-0.0824342104,0.4527709854,0.0269479272,1.0202844827,0.5549162257,-0.5284321943,-0.308883959,-0.0930822556,0.5960541374,0.4082887485,1
-0.7311985876,-0.6370998966,-1.8854563727,-1.2827181354,-1.4113188139,0.6735910179,-0.0369680934,-0.285320121,-0.2203018925,-0.1113053324,0.1911968458,-1.2912125087,0
-0.8806087356,-1.0410070369,0.1007130383,-0.1156488772,-0.3918907793,0.8060446419,0.7429281599,-0.5813092056,-0.1007357541,0.1561635024,0.707828665,-0.1682068732,2
